date,home,away,score,tier,result
1898-10-15,Newcastle United,Sheffield United,1-2,1,A
1901-04-13,Newcastle United,Sheffield United,3-0,1,H
1902-04-12,Sheffield United,Newcastle United,1-0,1,H
1905-02-11,Sheffield United,Newcastle United,1-3,1,A
1905-12-02,Sheffield United,Newcastle United,2-0,1,H
1906-04-04,Newcastle United,Sheffield United,2-1,1,H
1907-10-12,Newcastle United,Manchester United,1-6,1,A
1908-01-18,Sheffield United,Manchester United,2-0,1,H
1908-10-10,Manchester United,Sheffield United,2-1,1,H
1908-12-25,Newcastle United,Manchester United,2-1,1,H
1908-12-26,Manchester United,Newcastle United,1-0,1,H
1910-12-10,Sheffield United,Manchester United,2-0,1,H
1911-12-09,Manchester United,Sheffield United,1-0,1,H
1912-04-06,Manchester United,Newcastle United,0-2,1,A
1912-12-14,Newcastle United,Manchester United,1-3,1,A
1913-04-12,Sheffield United,Manchester United,2-1,1,H
1913-12-13,Newcastle United,Sheffield United,2-1,1,H
1914-04-18,Sheffield United,Newcastle United,2-0,1,H
1914-04-22,Manchester United,Sheffield United,2-1,1,H
1914-12-12,Manchester United,Sheffield United,1-2,1,A
1919-11-01,Manchester United,Sheffield United,3-0,1,H
1919-12-27,Newcastle United,Manchester United,2-1,1,H
1920-12-18,Manchester United,Newcastle United,2-0,1,H
1921-01-01,Newcastle United,Manchester United,6-3,1,H
1922-09-16,Sheffield United,Newcastle United,2-0,1,H
1924-01-01,Sheffield United,West Ham United,0-2,1,A
1924-09-17,Newcastle United,West Ham United,4-1,1,H
1925-09-16,Leeds United,Newcastle United,2-0,1,H
1925-11-21,Sheffield United,Leeds United,2-0,1,H
1925-12-09,Newcastle United,Sheffield United,3-1,1,H
1926-04-10,Sheffield United,Newcastle United,4-3,1,H
1926-09-25,Newcastle United,Sheffield United,2-0,1,H
1927-02-09,Manchester United,Newcastle United,3-1,1,H
1927-03-19,Manchester United,West Ham United,0-3,1,A
1927-04-30,Leeds United,West Ham United,6-3,1,H
1928-10-06,Newcastle United,Leeds United,3-2,1,H
1928-12-25,West Ham United,Newcastle United,1-0,1,H
1928-12-26,Newcastle United,West Ham United,1-0,1,H
1929-09-09,West Ham United,Newcastle United,5-1,1,H
1930-01-01,Sheffield United,West Ham United,4-2,1,H
1930-04-18,West Ham United,Sheffield United,1-0,1,H
1930-05-03,Newcastle United,West Ham United,1-0,1,H
1930-10-25,Sheffield United,Newcastle United,3-1,1,H
1930-11-01,West Ham United,Sheffield United,4-1,1,H
1931-02-14,Manchester United,West Ham United,1-0,1,H
1931-03-28,Manchester United,Sheffield United,1-2,1,A
1931-04-07,Leeds United,Sheffield United,4-0,1,H
1932-03-19,Leeds United,Manchester United,1-4,2,A
1932-12-10,West Ham United,Manchester United,3-1,2,H
1934-10-27,Manchester United,West Ham United,3-1,2,H
1935-03-02,Manchester United,Newcastle United,0-1,2,A
1935-09-14,Newcastle United,Manchester United,0-2,2,A
1935-11-16,Manchester United,West Ham United,2-3,2,A
1936-03-07,West Ham United,Manchester United,1-2,2,A
1936-11-28,Leeds United,Manchester United,2-1,1,H
1947-01-04,Sheffield United,Leeds United,6-2,1,H
1947-05-26,Manchester United,Sheffield United,6-2,1,H
1947-09-13,Manchester United,Sheffield United,0-1,1,A
1948-12-11,Newcastle United,Sheffield United,3-2,1,H
1949-04-30,Newcastle United,Manchester United,0-1,1,A
1950-04-22,Newcastle United,Manchester United,2-1,1,H
1951-04-21,Newcastle United,Manchester United,0-2,1,A
1954-11-13,Sheffield United,Manchester United,3-0,1,H
1955-04-02,Manchester United,Sheffield United,5-0,1,H
1955-04-18,Newcastle United,Manchester United,2-0,1,H
1955-12-17,Sheffield United,Newcastle United,2-1,1,H
