date,home,away,score,tier,result
1898-09-26,Sheffield United,Newcastle United,2-2,1,D
1898-10-15,Newcastle United,Sheffield United,1-2,1,A
1899-10-21,Newcastle United,Sheffield United,0-0,1,D
1900-03-26,Sheffield United,Newcastle United,3-1,1,H
1900-12-08,Sheffield United,Newcastle United,2-0,1,H
1901-04-13,Newcastle United,Sheffield United,3-0,1,H
1901-12-14,Newcastle United,Sheffield United,1-1,1,D
1902-04-12,Sheffield United,Newcastle United,1-0,1,H
1902-09-13,Manchester United,Burton United,1-0,2,H
1902-11-15,Sheffield United,Newcastle United,2-1,1,H
1903-01-10,Burton United,Manchester United,3-1,2,H
1903-03-14,Newcastle United,Sheffield United,0-0,1,D
1903-10-24,Newcastle United,Sheffield United,0-1,1,A
1903-12-25,Sheffield United,Newcastle United,2-2,1,D
1903-12-26,Burton United,Manchester United,2-2,2,D
1904-04-23,Manchester United,Burton United,2-0,2,H
1904-10-15,Newcastle United,Sheffield United,1-1,1,D
1904-12-17,Burton United,Manchester United,2-3,2,A
1905-02-11,Sheffield United,Newcastle United,1-3,1,A
1905-04-15,Manchester United,Burton United,5-0,2,H
1905-12-02,Sheffield United,Newcastle United,2-0,1,H
1905-12-23,Burton United,Manchester United,0-2,2,A
1906-04-04,Newcastle United,Sheffield United,2-1,1,H
1906-04-28,Manchester United,Burton United,6-0,2,H
1906-09-15,Sheffield United,Manchester United,0-2,1,A
1906-12-08,Sheffield United,Newcastle United,0-0,1,D
1906-12-22,Manchester United,Newcastle United,1-3,1,A
1907-01-19,Manchester United,Sheffield United,2-0,1,H
1907-02-02,Newcastle United,Manchester United,5-0,1,H
1907-04-13,Newcastle United,Sheffield United,0-0,1,D
1907-09-21,Manchester United,Sheffield United,2-1,1,H
1907-10-12,Newcastle United,Manchester United,1-6,1,A
1907-12-26,Newcastle United,Sheffield United,2-3,1,A
1908-01-01,Sheffield United,Newcastle United,1-1,1,D
1908-01-18,Sheffield United,Manchester United,2-0,1,H
1908-02-08,Manchester United,Newcastle United,1-1,1,D
1908-10-10,Manchester United,Sheffield United,2-1,1,H
1908-11-14,Sheffield United,Newcastle United,1-1,1,D
1908-12-25,Newcastle United,Manchester United,2-1,1,H
1908-12-26,Manchester United,Newcastle United,1-0,1,H
1909-02-13,Sheffield United,Manchester United,0-0,1,D
1909-03-20,Newcastle United,Sheffield United,4-0,1,H
1909-10-02,Manchester United,Newcastle United,1-1,1,D
1909-10-23,Sheffield United,Manchester United,0-1,1,A
1909-12-18,Sheffield United,Newcastle United,4-0,1,H
1910-02-12,Newcastle United,Manchester United,3-4,1,A
1910-03-05,Manchester United,Sheffield United,1-0,1,H
1910-04-30,Newcastle United,Sheffield United,0-0,1,D
1910-10-15,Manchester United,Newcastle United,2-0,1,H
1910-11-05,Newcastle United,Sheffield United,1-1,1,D
1910-12-10,Sheffield United,Manchester United,2-0,1,H
1911-02-18,Newcastle United,Manchester United,0-1,1,A
1911-04-03,Sheffield United,Newcastle United,0-0,1,D
1911-04-15,Manchester United,Sheffield United,1-1,1,D
1911-12-02,Newcastle United,Manchester United,2-3,1,A
1911-12-09,Manchester United,Sheffield United,1-0,1,H
1911-12-26,Newcastle United,Sheffield United,2-2,1,D
1912-01-01,Sheffield United,Newcastle United,2-1,1,H
1912-04-06,Manchester United,Newcastle United,0-2,1,A
1912-04-13,Sheffield United,Manchester United,6-1,1,H
1912-12-07,Manchester United,Sheffield United,4-0,1,H
1912-12-14,Newcastle United,Manchester United,1-3,1,A
1912-12-25,Newcastle United,Sheffield United,1-2,1,A
1912-12-30,Sheffield United,Newcastle United,1-1,1,D
